EyeTotalDuration_TOR_FrontOnly,EyeCount_TOR_FrontOnly,EyeTotalDuration_TOR,EyeCount_TOR,class_tf,fileIDs
36,2,150,10,1,S30_02_texting_CANData
4,4,88,14,2,S30_03_Movie_CANData
88,6,160,10,1,S30_03_NoNDRT_CANData
56,6,140,10,0,S30_03_conversation_CANData
0,0,122,2,1,S30_03_drink_CANData
42,8,86,18,2,S30_03_texting_CANData
16,4,62,8,0,S31_01_Movie_CANData
88,8,132,14,1,S31_01_NoNDRT_CANData
0,0,0,0,0,S31_01_conversation_CANData
38,6,42,10,0,S31_01_drink_CANData
74,8,78,10,0,S31_01_texting_CANData
0,0,18,6,0,S31_02_Movie_CANData
26,7,26,7,0,S31_02_NoNDRT_CANData
10,4,11,5,0,S31_02_conversation_CANData
0,0,0,0,1,S31_02_drink_CANData
60,8,70,10,0,S31_02_texting_CANData
132,16,234,22,2,S31_03_Movie_CANData
58,4,60,6,0,S31_03_NoNDRT_CANData
0,0,0,0,0,S31_03_conversation_CANData
0,0,0,0,0,S31_03_drink_CANData
62,4,74,6,0,S31_03_texting_CANData
66,4,132,14,0,S32_01_Movie_CANData
150,4,160,8,0,S32_01_NoNDRT_CANData
103,7,155,15,1,S32_01_conversation_CANData
46,2,86,12,0,S32_01_drink_CANData
80,4,130,10,1,S32_01_texting_CANData
80,4,130,10,1,S32_01_texting_CANData_DESKTOP-59B5B6O_9-30-155828-2018_Conflict
46,2,180,6,1,S32_02_Movie_CANData
138,5,164,9,1,S32_02_NoNDRT_CANData
2,2,6,4,1,S32_02_conversation_CANData
102,5,166,11,1,S32_02_drink_CANData
116,4,136,12,1,S32_02_texting_CANData
34,2,150,12,0,S32_03_Movie_CANData
156,6,164,8,1,S32_03_NoNDRT_CANData
139,5,147,11,1,S32_03_conversation_CANData
76,8,92,12,0,S32_03_drink_CANData
84,4,114,12,0,S32_03_texting_CANData
66,4,128,10,0,S33_01_Movie_CANData
64,8,106,12,1,S33_01_NoNDRT_CANData
16,2,116,14,0,S33_01_conversation_CANData
14,6,28,14,0,S33_01_drink_CANData
14,2,80,4,2,S33_01_texting_CANData
0,0,0,0,2,S33_02_Movie_CANData
18,4,38,8,0,S33_02_NoNDRT_CANData
28,4,36,6,0,S33_02_conversation_CANData
50,2,50,2,1,S33_02_drink_CANData
22,2,38,10,1,S33_02_texting_CANData
16,4,94,6,2,S33_03_Movie_CANData
0,0,14,4,0,S33_03_NoNDRT_CANData
0,0,38,2,0,S33_03_conversation_CANData
63,9,91,13,0,S33_03_drink_CANData
0,0,0,0,0,S33_03_texting_CANData
53,9,75,13,0,S34_01_NoNDRT_CANData
68,4,119,17,0,S34_01_conversation_CANData
64,8,120,19,2,S34_01_drink_CANData
0,0,0,0,2,S34_01_texting_CANData
12,2,96,16,1,S34_02_Movie_CANData
46,5,112,19,0,S34_02_NoNDRT_CANData
46,12,68,22,1,S34_02_conversation_CANData
100,8,136,15,1,S34_02_drink_CANData
38,6,38,6,1,S34_02_texting_CANData
16,8,180,38,2,S34_03_Movie_CANData
61,10,101,22,0,S34_03_NoNDRT_CANData
46,7,72,11,1,S34_03_conversation_CANData
78,10,120,18,1,S34_03_drink_CANData
22,2,34,6,2,S34_03_texting_CANData
92,4,236,17,2,S35_01_Movie_CANData
99,4,125,12,2,S35_01_NoNDRT_CANData
